top_absence,abundance,type,lifeform,target_abbr,target,constituents
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum gracile
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum gracile ssp. gracile
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum komarovii
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum russeolum
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum russeolum ssp. leiocarpum
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum scheuchzeri
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum scheuchzeri ssp. arcticum
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum scheuchzeri ssp. scheuchzeri
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum triste
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum viridicarinatum
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Atriplex gmelinii
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Atriplex gmelinii var. alaskensis
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Atriplex gmelinii var. gmelinii
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Cakile edentula 
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Cakile edentula ssp. edentula
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Carex gmelinii
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Carex macrocephala
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Hockenya peploides
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Honckenya peploides ssp. diffusa
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Honckenya peploides ssp. major
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Lathyrus japonicus
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Leymus mollis
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Leymus mollis ssp. mollis
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Leymus mollis ssp. villosissimus
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Mertensia maritima
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Mertensia maritima ssp. asiatica
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Mertensia maritima ssp. tenella
TRUE,TRUE,diagnostic species set,6. forb,beach,Beach Herbaceous,Senecio pseudoarnica
FALSE,TRUE,functional group,6. forb,forb,Forbs,forb
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Acorus americanus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Alisma triviale
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Bidens cernua
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Brasenia schreberi
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Calla palustris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Callitriche anceps
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Callitriche hermaphroditica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Callitriche heterophylla
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Callitriche palustris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Caltha biflora
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Caltha leptosepala
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Caltha natans
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Caltha palustris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Caltha palustris ssp. asarifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Caltha palustris ssp. radicans
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ceratophyllum demersum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Chrysosplenium tetrandrum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Cicuta bulbifera
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Cicuta douglasii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Cicuta virosa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Comarum palustre
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Coptidium lapponicum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Coptidium pallasii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Cotula coronopifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Crassula aquatica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Drosera anglica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Drosera rotundifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Elodea canadensis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Epilobium davuricum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Epilobium leptophyllum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Epilobium palustre
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Halerpestes cymbalaria
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Hippuris lanceolata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Hippuris montana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Hippuris tetraphylla
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Hippuris vulgaris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Koenigia islandica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lathyrus palustris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lathyrus palustris ssp. pilosus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lemna minor
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lemna trisulca
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lemna turionifera
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Limosella aquatica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lobelia dortmanna
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lomatogonium rotatum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lomatogonium rotatum ssp. rotatum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lomatogonium rotatum ssp. tenuifolium
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lycopus lucidus ssp. americanus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lycopus uniflorus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lysichiton americanus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lysimachia maritima
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lysimachia thyrsiflora
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Lythrum salicaria
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Malaxis paludosa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Menyanthes trifoliata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Microseris borealis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Mimulus guttatus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Montia chamissoi
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Montia fontana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Myriophyllum farwellii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Myriophyllum sibiricum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Myriophyllum verticillatum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Najas flexilis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Nasturtium officinale
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Nephrophyllidium crista-galli
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Nuphar polysepala
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Nymphaea odorata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Nymphaea odorata ssp. odorata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Nymphaea tetragona
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Oenanthe sarmentosa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Oxybasis rubra
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Oxybasis rubra var. humilis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Oxybasis rubra var. rubra
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Pedicularis chamissonis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Persicaria amphibia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Persicaria amphibia ssp. laevimarginata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Persicaria hydropiperoides
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Phyllospadix scouleri
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Pinguicula villosa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Pinguicula vulgaris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Pinguicula vulgaris ssp. macroceras
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Pinguicula vulgaris ssp. vulgaris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Platanthera chorisiana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Platanthera huronensis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton alpinus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton alpinus ssp. tenuifolius
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton berchtoldii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton epihydrus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton foliosus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton foliosus ssp. foliosus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton friesii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton gramineus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton natans
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton obtusifolius
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton praelongus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton richardsonii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton robbinsii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton subsibiricus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Potamogeton zosteriformis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Primula cuneifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Primula cuneifolia ssp. cuneifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Primula cuneifolia ssp. saxifragifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus hyperboreus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus hyperboreus ssp. arnellii
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus hyperboreus ssp. hyperboreus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus mongolicus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus sceleratus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus sceleratus ssp. multifidus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus subrigidus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ranunculus trichophyllus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Rumex occidentalis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Rumex occidentalis ssp. fenestratus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ruppia cirrhosa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Ruppia maritima
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sagittaria cuneata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Salicornia depressa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga bracteata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga hirculus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga hirculus ssp. compacta
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga hirculus ssp. hirculus
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga hirculus ssp. propinqua
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga hyperborea
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga rivularis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Saxifraga rivularis ssp. arctolitoralis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Scheuchzeria palustris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Scheuchzeria palustris ssp. americana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Scutellaria galericulata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Scutellaria galericulata ssp. pubescens
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sium suave
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sparganium angustifolium
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sparganium emersum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sparganium hyperboreum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sparganium multipedunculatum
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Sparganium natans
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Spiranthes romanzoffiana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Stellaria humifusa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Stuckenia filiformis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Stuckenia filiformis ssp. borealis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Stuckenia filiformis ssp. occidentalis
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Stuckenia pectinata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Stuckenia vaginata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Subularia aquatica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Subularia aquatica ssp. americana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Subularia aquatica ssp. aquatica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Symphyotrichum boreale
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Typha latifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Utricularia intermedia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Utricularia minor
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Utricularia ochroleuca
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Utricularia vulgaris ssp. macrorhiza
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Veronica americana
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Veronica anagallis-aquatica
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Veronica scutellata
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Veronica serpyllifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Veronica serpyllifolia ssp. humifusa
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Veronica serpyllifolia ssp. serpyllifolia
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Zannichellia palustris
FALSE,TRUE,diagnostic species set,6. forb,wetforb,Wetland Forbs,Zostera marina
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergon
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergon cordifolium
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergon giganteum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergon megalophyllum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergon richardsonii
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergonella
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Calliergonella cuspidata
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus aduncus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus arcticus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus latinervis
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus longifolius
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus polygamus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Drepanocladus sordidus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Hamatocaulis
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Hamatocaulis lapponicus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Hamatocaulis vernicosus
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Loeskypnum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Loeskypnum badium
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Loeskypnum wickesiae
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Meesia
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Meesia triquetra
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Meesia uliginosa
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Pseudocalliergon
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Pseudocalliergon angustifolium
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Pseudocalliergon brevifolium
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Pseudocalliergon trifarium
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Pseudocalliergon turgescens
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Sarmentypnum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Sarmentypnum exannulatum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Sarmentypnum pseudosarmentosum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Sarmentypnum sarmentosum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Sarmentypnum trichophyllum
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Sarmentypnum tundrae
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Scorpidium
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Warnstorfia
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Warnstorfia fluitans
FALSE,FALSE,diagnostic species set,7. bryophyte,bromos,Brown Moss,Warnstorfia pseudostraminea
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Abietinella
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Abietinella abietina
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Antitrichia
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Antitrichia californica
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Antitrichia curtipendula
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachytheciastrum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachytheciastrum trachypodium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium acutum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium albicans
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium asperrimum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium boreale
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium cirrosum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium coruscum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium erythrorrhizon
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium erythrorrhizon var. erythrorrhizon
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium frigidum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium jacuticum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium rivulare
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium rotaeanum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium turgidum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Brachythecium udum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Bryhnia
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Bryhnia hultenii
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Buckiella
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Buckiella undulata
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Cirriphyllum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Cirriphyllum piliferum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Claopodium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Claopodium bolanderi
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Claopodium crispifolium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Claopodium pellucinerve
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Climacium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Climacium americanum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Climacium dendroides
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Ctenidium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Ctenidium molluscum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Ctenidium schofieldii
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Echinophyllum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Echinophyllum sachalinense
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Elodium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Elodium blandowii
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Elodium paludosum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Eurhynchiastrum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Eurhynchiastrum pulchellum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Eurhynchiastrum pulchellum var. barnesii
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Eurhynchiastrum pulchellum var. pulchellum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Gollania
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Gollania turgens
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Herzogiella
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Herzogiella adscendens
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Herzogiella striatella
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Homalothecium
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Homalothecium aeneum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Homalothecium fulgescens
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Homalothecium nuttallii
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Hylocomiadelphus
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Hylocomiadelphus triquetrus
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Hylocomiastrum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Hylocomiastrum pyrenaicum
FALSE,TRUE,diagnostic species set,7. bryophyte,feather,Feathermoss,Hylocomiastrum umbratum
